w_county,county,share_2013,share_2023,workers_2013,workers_2023,change
42045,Delaware County,0.3924851973621259,0.3446161829044216,102545,96965,-5580
42101,Philadelphia County,0.2257617569496806,0.2419154781409598,58985,68068,9083
42091,Montgomery County,0.13187839446398567,0.14121924434287828,34456,39735,5279
42029,Chester County,0.08675283517879903,0.09230873117698697,22666,25973,3307
10003,New Castle County,0.04243486647963226,0.0418664325747856,11087,11780,693
42017,Bucks County,0.018172701907215115,0.020702204562659265,4748,5825,1077
34015,Gloucester County,0.00811418029555519,0.011145427211759562,2120,3136,1016
34007,Camden County,0.00932365245281719,0.008902836468577074,2436,2505,69
42077,Lehigh County,0.005033088249365601,0.006066723294156114,1315,1707,392
42003,Allegheny County,0.0044627991625553545,0.005896130020506733,1166,1659,493
