time_period,Bucks,Montgomery,Chester,Delaware,Philadelphia,Burlington,Camden,Gloucester
2001,28423449,60772818,28543104,25774228,73086124,21599343,21772073,10932163
2002,29159944,61352479,29329328,26549102,72790300,22473051,22248786,11184352
2003,29558977,64670246,31852936,27562844,74974946,23563757,23262683,12038705
2004,30336751,67596717,34633167,26971984,78634790,24174411,23374201,12075497
2005,31296092,67562297,36812776,26981893,79094532,24999208,23950556,12006009
2006,31397498,68326172,37339499,26866913,79341046,25455114,24185657,11888220
2007,32561957,71261179,38457057,27440350,87093906,25523360,24275806,13192641
2008,33190686,70316799,38366339,28583923,94956737,26472056,24891418,15496944
2009,31910153,67675133,37836818,27648180,90114639,25590527,23532313,12520447
2010,33298465,69157725,38361068,29241724,92580155,25895300,23492703,12692900
2011,33319447,70104887,37662565,29076496,93705453,25989222,22866664,11915004
2012,33043844,71530688,38338199,30412431,99121922,26295811,23294727,12522444
2013,33571675,72254581,40544563,31214190,102753184,26780766,23593254,12352634
2014,33934562,73883202,41348788,32508043,104129919,26558258,23445911,13547030
2015,34142699,75303599,42597839,32599166,106170833,27133765,23695626,13742256
2016,34819548,77411375,42939240,33246944,111602719,27370038,24186343,13598025
2017,35356539,78127590,43750772,33980298,108863224,27798933,24743652,13431268
2018,35913378,79499587,46007412,34209344,108775126,28075872,25210544,14506982
2019,35493612,80680051,46010713,34778800,108441380,28519577,25509575,15120630
2020,34127978,81481398,44333779,31813560,101678301,28542034,24269135,13895887
2021,35381424,86280647,45562975,33761550,105083385,30260851,25679614,14327574
2022,36888334,88989489,47391773,34288808,106999472,30915417,26094892,13994075
2023,37237681,88606761,48605634,33869383,107797036,31767399,26508606,14213721
2024,38241897,90035254,49491894,34058368,109412657,32395824,27237865,14722428
